SED,Tot_P_M,Tot_P_F,Tot_P_P
10001,35306,36690,71996
10002,47273,44756,92029
10003,31874,34155,66029
10004,36032,39393,75425
10005,39947,40747,80694
10006,34284,33188,67472
10007,36953,36105,73058
10008,35551,36945,72496
10009,32914,34099,67013
10010,39215,39823,79038
10011,32633,35006,67639
10012,33146,33753,66899
10013,37337,38921,76258
10014,38938,40291,79229
10015,34163,35345,69508
10016,38472,40298,78770
10017,36031,37788,73819
10018,36830,37489,74319
10019,31145,32977,64122
10020,35391,36248,71639
10021,34223,36329,70552
10022,39557,41984,81541
10023,32460,33993,66453
10024,33148,35556,68704
10025,39574,41416,80990
10026,34928,36646,71574
10027,33152,34542,67694
10028,34138,36364,70502
10029,41532,42692,84224
10030,33964,36653,70617
10031,34354,35823,70177
10032,44494,43854,88348
10033,37997,37663,75660
10034,32770,33521,66291
10035,44722,41881,86603
10036,36316,37035,73351
10037,33251,34598,67849
10038,33787,35306,69093
10039,37695,39086,76781
10040,35235,38740,73975
10041,33057,34260,67317
10042,43142,42411,85553
10043,33180,35453,68633
10044,36029,37165,73194
10045,41335,42046,83381
10046,37040,37316,74356
10047,42257,43893,86150
10048,37054,38640,75694
10049,37170,38352,75522
10050,38472,38960,77432
10051,38534,39200,77734
10052,35390,35795,71185
10053,31432,33522,64954
10054,36797,36082,72879
10055,42079,43272,85351
10056,38028,38791,76819
10057,32744,32525,65269
10058,35557,34885,70442
10059,32852,34938,67790
10060,33756,34164,67920
10061,37026,40880,77906
10062,35430,36962,72392
10063,35417,37894,73311
10064,36422,36784,73206
10065,34113,34946,69059
10066,46513,45938,92451
10067,33383,35515,68898
10068,33184,34759,67943
10069,31896,34411,66307
10070,34336,35331,69667
10071,48322,48126,96448
10072,37000,37886,74886
10073,36875,38800,75675
10074,33549,34767,68316
10075,37089,37593,74682
10076,34274,35111,69385
10077,40723,41839,82562
10078,32820,34171,66991
10079,56691,50436,107127
10080,35066,36309,71375
10081,31877,34165,66042
10082,34224,37139,71363
10083,36995,37731,74726
10084,33869,36535,70404
10085,36862,35601,72463
10086,36741,39345,76086
10087,36058,37381,73439
10088,36043,37700,73743
10089,33531,35284,68815
10090,36997,40054,77051
10091,37664,38658,76322
10092,36923,36795,73718
10093,36681,39180,75861
19494,7592,5326,12918
19797,56,56,112
20106,37575,38025,75600
20207,48286,47325,95611
20308,28083,29350,57433
20408,30149,33205,63354
20502,38431,39670,78101
20601,25389,26402,51791
20708,28939,31050,59989
20804,24494,24823,49317
20904,26539,27088,53627
21004,27799,29502,57301
21104,28065,29556,57621
21206,27052,28395,55447
21301,27990,30481,58471
21406,26299,28965,55264
21503,31807,31967,63774
21603,30328,32180,62508
21701,22672,24068,46740
21803,26175,27612,53787
21906,28508,30922,59430
22005,29484,30886,60370
22106,27305,29045,56350
22205,30558,29312,59870
22305,40941,41855,82796
22405,30619,29612,60231
22507,34893,34801,69694
22601,23703,25671,49374
22701,25109,26611,51720
22807,27416,28970,56386
22902,27989,28452,56441
23001,31570,32322,63892
23107,35320,33680,69000
23201,24498,26221,50719
23305,25475,27151,52626
23408,26568,28375,54943
23502,31484,32266,63750
23602,27833,28602,56435
23702,26903,26942,53845
23802,32807,33303,66110
23906,27854,29713,57567
24003,26430,27911,54341
24107,41182,41624,82806
24206,25002,27093,52095
24301,28040,29951,57991
24407,35694,35786,71480
24508,34900,35555,70455
24608,25302,26040,51342
24705,34856,34895,69751
24804,33748,34961,68709
24906,26199,28824,55023
25003,45604,46826,92430
25108,35192,35857,71049
25204,27815,28736,56551
25303,29800,30597,60397
25401,25849,27467,53316
25502,26347,26540,52887
25605,28873,30398,59271
25702,26998,29726,56724
25802,27513,28662,56175
25905,26722,28167,54889
26005,26220,26181,52401
26104,25578,26702,52280
26202,29140,30543,59683
26305,29836,30388,60224
26405,46027,46402,92429
26502,24236,25852,50088
26607,24090,25492,49582
26703,28268,30169,58437
26806,28298,29093,57391
26907,30835,32018,62853
27008,28640,28587,57227
27106,29639,30549,60188
27203,29554,30574,60128
27303,29487,30706,60193
27408,25475,24941,50416
27504,24829,25056,49885
27606,24656,26916,51572
27701,25474,26548,52022
27804,29747,29833,59580
27904,28106,28782,56888
28008,33837,35761,69598
28108,29630,30867,60497
28204,22372,22216,44588
28307,39698,41038,80736
28403,26918,27214,54132
28501,28425,29685,58110
28607,28294,28966,57260
28703,45229,45778,91007
28807,40396,40937,81333
29494,4672,3636,8308
29797,36,0,36
30001,28286,29190,57476
30002,25216,26118,51334
30003,22268,22534,44802
30004,20307,21792,42099
30005,27080,28202,55282
30006,24768,25041,49809
30007,26842,24450,51292
30008,22195,24157,46352
30009,20204,21880,42084
30010,23453,24210,47663
30011,21369,23162,44531
30012,30885,31127,62012
30013,23975,22244,46219
30014,23606,25287,48893
30015,22414,21811,44225
30016,28317,28239,56556
30017,23122,22214,45336
30018,21695,23236,44931
30019,23020,23433,46453
30020,23574,25079,48653
30021,23002,24066,47068
30022,23111,24657,47768
30023,26176,25923,52099
30024,24503,23069,47572
30025,28692,29327,58019
30026,22338,23376,45714
30027,24482,23119,47601
30028,22057,23003,45060
30029,21607,22106,43713
30030,27245,28435,55680
30031,27140,25212,52352
30032,24016,23740,47756
30033,21823,22729,44552
30034,22907,20748,43655
30035,22720,23021,45741
30036,23381,25523,48904
30037,23911,22372,46283
30038,26917,25871,52788
30039,22641,23585,46226
30040,23682,24623,48305
30041,24809,24551,49360
30042,23151,24004,47155
30043,22761,24952,47713
30044,24948,24645,49593
30045,24329,24322,48651
30046,23742,23517,47259
30047,23079,24239,47318
30048,23784,22932,46716
30049,21096,22067,43163
30050,23055,24590,47645
30051,24407,24223,48630
30052,24324,25984,50308
30053,28213,24295,52508
30054,22479,23442,45921
30055,25023,25765,50788
30056,21402,22421,43823
30057,19578,16858,36436
30058,21733,22798,44531
30059,24474,25977,50451
30060,24623,24926,49549
30061,22409,23432,45841
30062,27522,29237,56759
30063,23975,23810,47785
30064,21636,22710,44346
30065,22866,24174,47040
30066,24981,25494,50475
30067,23359,23656,47015
30068,24567,26221,50788
30069,22595,24110,46705
30070,22795,23662,46457
30071,23611,24639,48250
30072,22049,23629,45678
30073,25097,23818,48915
30074,23527,24142,47669
30075,26503,27979,54482
30076,23628,24160,47788
30077,21387,22992,44379
30078,26274,27142,53416
30079,24378,24994,49372
30080,25951,25686,51637
30081,24587,25774,50361
30082,23605,25224,48829
30083,22743,25512,48255
30084,24503,23782,48285
30085,21448,20054,41502
30086,28466,29540,58006
30087,27756,25725,53481
30088,29184,29539,58723
30089,23433,23674,47107
39494,7151,5393,12544
39797,276,195,471
40001,19481,19045,38526
40002,16696,17767,34463
40003,14704,16368,31072
40004,15572,16575,32147
40005,15892,15936,31828
40006,16791,17488,34279
40007,15473,16270,31743
40008,16687,16782,33469
40009,15232,15955,31187
40010,16159,17431,33590
40011,19319,19354,38673
40012,15023,15688,30711
40013,16231,16774,33005
40014,16571,16283,32854
40015,15103,15989,31092
40016,16194,16347,32541
40017,18852,17130,35982
40018,15485,15315,30800
40019,17306,17301,34607
40020,15425,17382,32807
40021,16394,16850,33244
40022,18956,19696,38652
40023,16604,17357,33961
40024,15438,16373,31811
40025,18173,19012,37185
40026,17610,17888,35498
40027,15736,15160,30896
40028,17360,18095,35455
40029,16860,17997,34857
40030,15827,16315,32142
40031,14882,16388,31270
40032,17278,17571,34849
40033,19443,19723,39166
40034,15410,15441,30851
40035,16769,17699,34468
40036,17116,16990,34106
40037,19378,19400,38778
40038,17159,17514,34673
40039,15617,16134,31751
40040,16320,16222,32542
40041,17293,16164,33457
40042,21297,21116,42413
40043,17471,18153,35624
40044,15036,17165,32201
40045,15379,16493,31872
40046,16142,16756,32898
40047,16290,17211,33501
49494,1779,1288,3067
49797,5,0,5
50106,16579,17073,33652
50205,16161,17804,33965
50302,20313,20629,40942
50404,17721,18431,36152
50502,17120,16996,34116
50605,16437,17365,33802
50702,19259,18692,37951
50806,15002,14802,29804
50906,15595,15753,31348
51005,21392,20471,41863
51104,15790,16477,32267
51201,15461,14944,30405
51304,17887,18164,36051
51405,21455,21455,42910
51506,21056,20476,41532
51604,16937,18468,35405
51702,23261,22811,46072
51806,17544,18338,35882
51903,16417,14771,31188
52002,19486,19495,38981
52105,17049,17846,34895
52201,18154,18441,36595
52304,18259,18399,36658
52402,17849,17886,35735
52504,16563,16721,33284
52605,19975,20257,40232
52704,17440,17727,35167
52802,17057,17351,34408
52903,15920,13206,29126
53003,18510,16285,34795
53104,15676,16359,32035
53205,24116,23812,47928
53306,17500,18357,35857
53402,18180,18076,36256
53502,18451,18493,36944
53604,27557,28317,55874
53701,17940,16380,34320
53802,16530,16988,33518
53902,16615,17528,34143
54006,19634,19450,39084
54104,17700,18694,36394
54202,19441,19790,39231
54303,22031,15346,37377
54404,18780,19011,37791
54504,24210,21857,46067
54603,21377,13240,34617
54705,16643,17042,33685
54805,16755,16733,33488
54904,17953,18687,36640
55005,18392,19413,37805
55105,25053,24910,49963
55202,25050,24335,49385
55306,19499,20251,39750
55405,23046,22409,45455
55501,15862,14703,30565
55604,28804,29509,58313
55705,25857,26061,51918
55802,18868,19134,38002
55905,16339,17531,33870
59494,4286,3011,7297
59797,382,34,416
60101,5403,5265,10668
60106,15285,16770,32055
60112,10978,11755,22733
60115,16542,17246,33788
60207,15431,16653,32084
60208,15569,16436,32005
60209,16642,16867,33509
60214,278,270,548
60302,4572,4755,9327
60303,16717,18294,35011
60304,15898,16841,32739
60305,121,127,248
60310,10647,10989,21636
60402,1286,1398,2684
60405,16341,16592,32933
60410,4894,5388,10282
60411,16020,17183,33203
60413,9267,9339,18606
60501,10195,9835,20030
60502,11931,12088,24019
60512,4758,4857,9615
60513,7770,7824,15594
60514,15434,15412,30846
69494,614,459,1073
69797,81,34,115
70001,4582,4225,8807
70002,4373,4357,8730
70003,3986,3906,7892
70004,4253,4141,8394
70005,4815,4873,9688
70006,4209,4233,8442
70007,4883,4797,9680
70008,3838,3704,7542
70009,4967,4477,9444
70010,4215,4120,8335
70011,3899,3564,7463
70012,5349,3932,9281
70013,4605,4280,8885
70014,3976,4036,8012
70015,4085,3920,8005
70016,4061,4112,8173
70017,4675,4534,9209
70018,4360,3982,8342
70019,4184,3038,7222
70020,4244,4016,8260
70021,4058,3911,7969
70022,5233,4116,9349
70023,3765,3659,7424
70024,3423,3308,6731
70025,4373,4314,8687
79494,1018,851,1869
79797,89,19,108
80001,48377,49717,98094
80002,49289,50465,99754
80003,78751,79987,158738
89494,327,305,632
89797,0,0,0
99191,1960,1041,3001
99494,7,18,25
99797,0,3,3
